date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:21	387587/387587	---M--	200	added ('OK')	image/jpeg	etag:%225ea03-5f4be4c065400%22	https://mojtababagheri.ir/assets/files/f202302150627214652.jpg	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/assets/files/f202302150627214652.jpg	(from https://mojtababagheri.ir/)
13:00:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Mar%202023%2009:30:13%20GMT	https://mojtababagheri.ir/assets/files/jpg	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/assets/files/jpg	(from https://mojtababagheri.ir/)
13:00:22	17942/17942	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2009:30:13%20GMT	https://mojtababagheri.ir/single/smp10012/Bevaset%20Online%20Store/	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/single/smp10012/Bevaset%20Online%20Store/index.html	(from https://mojtababagheri.ir/)
13:00:22	47889/47889	---M--	200	added ('OK')	image/jpeg	etag:%22bb11-5f6a4bec08c17%22	https://mojtababagheri.ir/assets/files/f202303111418386063.jpg	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/assets/files/f202303111418386063.jpg	(from https://mojtababagheri.ir/)
13:00:22	18371/18371	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2009:30:14%20GMT	https://mojtababagheri.ir/single/S-1MM3342/Rooyesh%20application/	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/single/S-1MM3342/Rooyesh%20application/index.html	(from https://mojtababagheri.ir/)
13:00:22	62503/62503	---M--	200	added ('OK')	image/jpeg	etag:%22f427-5f4d160fba500%22	https://mojtababagheri.ir/assets/files/f202302160513165882.jpg	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/assets/files/f202302160513165882.jpg	(from https://mojtababagheri.ir/)
13:00:23	35534/35534	---M--	200	added ('OK')	image/jpeg	etag:%228ace-5d70096f28000%22	https://mojtababagheri.ir/assets/files/f202202011026576392.jpg	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/assets/files/f202202011026576392.jpg	(from https://mojtababagheri.ir/)
13:00:23	20923/20923	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2009:30:15%20GMT	https://mojtababagheri.ir/post/B-1MM1797/Wahts%20ui%20Design-/	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/post/B-1MM1797/Wahts%20ui%20Design-/index.html	(from https://mojtababagheri.ir/)
13:00:23	527197/527197	---M--	200	added ('OK')	image/jpeg	etag:%2280b5d-5f28f65ef9b00%22	https://mojtababagheri.ir/assets/files/f202301181139491320.jpg	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/assets/files/f202301181139491320.jpg	(from https://mojtababagheri.ir/)
13:00:23	45032/45032	---M--	200	added ('OK')	image/jpeg	etag:%22afe8-5d6ed27a0dc00%22	https://mojtababagheri.ir/assets/files/f202201311115452070.jpg	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/assets/files/f202201311115452070.jpg	(from https://mojtababagheri.ir/)
13:00:23	23142/23142	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2009:30:15%20GMT	https://mojtababagheri.ir/post/post1000003682/How%20to%20Create%20a%20Startup%20Website/	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/post/post1000003682/How%20to%20Create%20a%20Startup%20Website/index.html	(from https://mojtababagheri.ir/)
13:00:24	105768/105768	---M--	200	added ('OK')	text/html	etag:%2219d28-5dbde26ef6880%22	https://mojtababagheri.ir/assets/fonts/fa/fa-brands-400.woff2	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/assets/fonts/fa/fa-brands-400.html	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
13:00:24	4096/4096	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2012%20Mar%202023%2009:30:15%20GMT	https://mojtababagheri.ir/post/post1000003682461/Download%20New%20Music%20Behnam%20Bani%20%e2%80%93%20Kojaye%20In%20Shahri/	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/post/post1000003682461/Download%20New%20Music%20Behnam%20Bani%20%e2%80%93%20Kojaye%20In%20Shahri/index.html	(from https://mojtababagheri.ir/)
13:00:24	28921/28921	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2009:30:16%20GMT	https://mojtababagheri.ir/post/post1000002230/10%20Things%20to%20Check%20Before%20Launching%20a%20Website/	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/post/post1000002230/10%20Things%20to%20Check%20Before%20Launching%20a%20Website/index.html	(from https://mojtababagheri.ir/)
13:00:24	182388/182388	---M--	200	added ('OK')	application/x-font-ttf	etag:%222c874-5dbde270ded00%22	https://mojtababagheri.ir/assets/fonts/fa/fa-brands-400.ttf	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/assets/fonts/fa/fa-brands-400.ttf	(from https://mojtababagheri.ir/assets/css/fontawesome-all-pro.css)
13:00:24	23654/23654	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Mar%202023%2009:30:16%20GMT	https://mojtababagheri.ir/post/blg1001/5%20Big%20Web%20Design%20Predictions%20for%202022/	D:/My%20Hindi%20Web%20pages/MB/mojtababagheri.ir/post/blg1001/5%20Big%20Web%20Design%20Predictions%20for%202022/index.html	(from https://mojtababagheri.ir/)
